dataset,image,engine,time_sec,text_length,predicted_text
english_scanned,82092117.png,easyocr,9.285,1241,"AIT. CEX. FEMIN CFFICE Fax:614-466-5087 Dec 10 17:46 P.Ci Attorney General Betty D. Montgomery CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET FAXNO. (614) 466-5087 TO: Geongs Baroody FAX NUMBER: (336)335.7392 PHONE NUMBER: (36333-7363 DATE: 42Q9B NUMBER OF PAGES INCLUDING COVER SHEET: SENDERPHONE NUMBER: Flyun for Eric Broun/(614466-8980 SPECLAL INSTRUCTIONS: EYQUDQNOT RECEIEAWY QE THEPAGES PROPERLX PLEASE CQNTACLSENDER AS SOONAS POSSIBLE NOTE; THIS MESSAGE IS INTENDED ONLY FOR THE USE OF THE WIVIDUAL OR ENTITY To} WHOM IT IS ADDRESSED AND MAY CONTAIN NORMATION THAT IS PRIVILEGED; CONFIDENTLAL AND EXEMPT FROM DISCLOSURE UNDER APPLICABLE LAW 1f the reader of tkls messagc = not tnt intcnced IcC picc} ot tt cmploytr 'gcrt responsibk for cclivcring tc mcsegc the intended mecipkcol yot 3c nrreby potiiird thar my diseination disabuion coprig conveying cf tis comiuzicktot Inaoner strictly prohlbitied K you have rcceived this comunicalon in Eor; pleesc rotily us imtneliately by tlcphone und reulm thc) original message tkc addrcs) bclox via the U.S Postal Servix_ Thank you for >our coopertion: 8 Stete Ollice Tower _ 30 East Broad Street_ Columbus; Onio 43215-3428 winag state,ch Ls An Eq48l Oppontunily Employcr Cenrntt Anattn June"
english_scanned,82092117.png,paddle,0.0,33,ERROR: Unknown argument: show_log
english_scanned,82092117.png,doctr,5.196,1342,"ATT. GEN. ADMIN. OFFICE Fax:614-466-5087 Dec 10 '98 17:46 P.01 Attorney General Betty D. Montgomery CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET FAX NO. (614) 466-5087 TO: George Baroody FAX NUMBER: (336) 335-7392 PHONE NUMBER: (336) 335-7363 DATE: 12/10/98 NUMBER OF PAGES INCLUDING COVER SHEET: 3 SENDER/PHONE NUMBER: June Flynn for Eric Brown/(614) 466-8980 SPECIAL INSTRUCTIONS: IF YOU DO NOT RECEIVE. ANY OF THE PAGES PROPERLY, PLEASE CONTACT SENDER AS SOON AS POSSIBLE - NOTÉ: THIS MESSAGE IS INTENDED ONLY FOR THE USE OF THE INDIVIDUAL OR ENTITY TO WHOM IT IS ADDRESSED AND MAY CONTAIN INFORMATION THAT IS PRIVILEGED, CONFIDENTLAL, AND EXEMPT FROM DISCLOSURE UNDER APPLICABLE LAW. If.the reader of this message is not the intended recipient or the employee or agent responsible for délivering the message to the intended recipient, you are hereby notified that any dissemination, distribution, copying or conveying of this communication in any manner is strictly prohibited. If you have received this communication in error, picase notify us immediately by telephone and return the original message to us at the address below via the U.S. Postal Service. Thank you for your - cooperation. State Office Tower / 30 East Broad Street / Columbus, Ohio 43215-3428 www.ag.state.oh.us An Equal Opportunity Employer Orined en Resyeled Popar"
english_scanned,82200067_0069.png,tesseract,0.331,482,"09/17/97 10:88 *PBOS 641 1898 LORTLLARD PTLD Boor  To: A. Sparraw  FROM: 7.0, etacnty  (ONLY IF PARTIAL REGION CONTINUE WITH DIVISIONIS! SCOPE)  DMvision: DIVISION: Portland —-# REPS: 6 DIVISION: Seatde South REPS: 7 DIVISION: Boise # REPS: 2.5 DIVISION: Seale Nonh REPS: 4  DIVISION: Eugene REPS: 5 DIVISION: Helena REPS: 6  DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 10'S  Paget of 3 Pages  2900078"
english_scanned,82200067_0069.png,easyocr,6.967,650,08/17/97 10:55 3603 041 1898 LORILLARD FTLD 0001 To: Spamow FROM: Blachly MAY 12/ AUG Jun 231 SEP SUBJECT: QLD GOLD MENTHOL LGHIS MLIRALGHT5102'5 EbosaESS beeORI REGION: (ONLY PARTIAL REGION CONTINUE WMH DIVISIONIS} scoPei DMISION: DIVISION: Partlond REPS: DIVISION: Suutte South REPS: DIVISION: Boise RepS: 2.5 DIvISIon; Svalllo Nonth REPS: DIVISION; Eugene Reps: DIVvISION: Helena RepS: dirEcT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 STORES) STOCKING NO OLD GOLD MENTHOL UGHTS OR ULTRA UGHTS 100*3 Tayacd Scattle 4ExazO Pontlond 81a Maic-o-ciovar 20 / 2 Dari-lan 125 Zip Trlp pe L 4 9 Mcick Asuo Gas EO0 / 7 1 OGALD-1644 Paget Pages
english_scanned,82200067_0069.png,paddle,0.0,33,ERROR: Unknown argument: show_log
english_scanned,82200067_0069.png,doctr,4.147,830,09/17/97 10:55 8503 841 1898 LORILLARD PTLD 0001 TO: K. A. Sparraw FROM: T. D. Blachly MAY 12[ AUG 41 JUN 23[ SEP 15[ x SUBJECT: OLD GOLI D MENTHOL LIGHTS & ULTRA LIGHTS 100'S PROGRESS.REPORT REGION: (ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S) SCOPE) DIVISION: DIVISION: Portland # REPS: 6 DIVISION: Seattle South # REPS: 7 DIVISION: Boise # REPS: 2.5 DIVISION: Seattle North : REPS: 4 DIVISION: Eugene # REPS: 5 DIVISION: Helena # REPS: 4 DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S  NDLORE NO DES SALER les UNA VOLUMER STORES VAMELENS OEUME Taxaco Scattle 105 / 5 225 Texaco Portland 61 /3 27 Maid-0-Clover 20/2 15 Dari-Mart 125 I 5 31 Zip Trip 106 I 4 18 Maverick 77 / 1 19 Astro Gas 600 I 7 20  N 2 R-1: OGMUS-15.xde Page1 of 3 Pages
english_scanned,82250337_0338.png,tesseract,0.522,1342,"COMPETITIVE PRODUCT INTRODUCTION  PROGRESS REPORT To: SamZolot MANUFACTURER: __BaW FROM: D.J. Lando BRAND: Kool Waterfall DATE: “2.08e97 TYPE OF PACKINGS: Al Packing REPORTING PERIODS: oot Now X ee. Jan. ‘TEST MARKET GEOGRAPHY: oivisonse21 andsar  (Cwsiscomsim) PRICE POINT: FULLS _PIVS (indicat Distrbutor’s Cost Per Caron)  SALES FORCE INVOLVEME?  They have ctew-worked distribution, and itis reported that they may crew-workit again. Sales force has been busy  promoting old style packs to clean up inventory. All POS is being converted to ""B* Kool  DISTRIBUTORS - ACCEPTANCEMNTRO TERMS/INTRO DEALS/INVOLVEMENT:  ‘Allaccounts have the new packaging. Itwas not a problem obtaining new distribution. All accounts appear  to have 100% distribution of new packings.  CHAINS - ACCEPTANCE/MERCHANDISING:  ‘This has not been a problem. New packaging is just following up on the old ‘packaging’.  INDEPENDENTS - ACCEPTANCE/MERCHANDISING:  Very well received. The old packs are boing consolidated and promoted in select retail cations at 40¢  Coff$4.00 off cartons.  ADVERTISING - EFFECTIVENESS OF P.0.S.:  “The theme ""B* Koo! has replaced all previous POS. They have effectively replaced al old POS. New  ‘door signage, hour signs. poster mats, and clocks have the new design. “B* Kool also appears on billboards  in Winois.  PAGE 1 OF 2  L290S228"
english_scanned,82250337_0338.png,easyocr,8.63,1212,"COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPQRI To: Sam Zolot MANUFACTURER: BEW FROM: Lamidio BRAND: Kool Watcrfall DATE: 2Dez-97 TYPE OF PACKINGS AlI Packings REPORTING PERIODS: Oct Nov: Jan TEST MARKET GEOGRAPHY: Divisions 621 LAlsr PRICE POINT: FULL PN $ (Indicate Distributor' s Cost Per Carton) FORCE INVOLVEMENT: have crewv- wcrked distribution and itis reported that they may crew-woIk _ 2qain Sales force _has been busy promotingold sbe packs clean YP inventor APOS being convertedto ""R"" Kocl DISTRIBUTORS_ ACCEPTANCEINTRQ TERMSIINIRQ DEALSIINVOLVEMENT: Allaccounts havo the newl packagng problem oblalning new distrbution accounis appear lohave 10030 distribution ol newpackings CHAINS - ACCEPTANCEMERCHANDISING: Thishas not peen problem Ner packaging just follkowng UP 02 the old_""packaging , INDEPENDENTS ACCEPIANCEIHERCHANDISING: Ver Tcceived The oldpacks are bcing consolidated promated select retail Locations 404 offsACD olf cartons ADVERTISING EFFEC TVENESS OF PO.Si The theme Kool has replaced allprevious POS Thex_havg effeclively replaced all oldPOS: Neu dor signage,hcur signs_poster mats and clocks Qave the new desipn, Koolals? appearg bilboards 1 Ilinois: PAGE OF 2 nnd SALES Thel and wel"
english_scanned,82250337_0338.png,paddle,0.0,33,ERROR: Unknown argument: show_log
english_scanned,82250337_0338.png,doctr,5.088,1331,"COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT TO: Sam Zolot MANUFACTURER: B&W FROM: D.J. Landro BRAND: Kool Waterfall DATE: 2-Dec-97 TYPE OF PACKINGS: All Packings REPORTING PERIODS: Oct. Nov. X Dec. Jan. TEST MARKET GEOGRAPHY: Divisions 621 and 627 wisconiin PRICE POINT: FULL $ P/V $ (Indicate Distributor's Cost Per Carton) SALES FORCE INVOLVEMENT: They have crew-worked distribution, and it is reported that they may crew-work it again. Sales force has been busy promoting old style packs to clean up inventory. All POS is being converted to ""B"" Kool. DISTRIBUTORS - ACCEPTANCEINTRO TERMS/INTRO DEALS/INVOLVEMENT: All accounts havet the new packaging. It was not a problem obtaining new distribution. All accounts appear to have 100% distribution of new packings. CHAINS - ACCEPTANCE/MERCHANDISING: This has not been a problem. New packaging is just following up on the old ""packaging"". INDEPENDENTS - ACCEPTANCE/MERCHANDISING: Very well received. The old packs are being consolidated and promoted in select retail locations at 40g off/$4.00 off cartons. ADVERTISING -I EFFECTIVENESS OF P.O.S.: The theme ""B"" Kool has replaced all previous POS. They have effectively replaced all old POS. New door signage, hour signs, poster mats, and clocks have the new design. ""B"" Kool also appears on billboards in Illinois. PAGE 1 OF 2"
english_scanned,82251504.png,tesseract,0.355,537,"“11/08/07 11:03 tpe1a 884 oses LORILLARD TAMPA. +++ GREENSBOR @o02/003  Retail Excel Progress Report  Submission for: Distribution by/to: sly 37 ) OM to RSM 1st of Month August29() To: B.W.Caldarella RSM to RW.C, 10th September 30 ( ) oo: DOS.  October31— (K) From: Kent B, Mills  November28 ( )  December30 ( ) Area: § Region: 17  Acceptance/Response: What Merchandising pian?  the retailers response to Lorillard's Excel  Hardware Evaluation/Effectiveness: Comment on the essembly of displays and  application of shields:  +7  vOSLSZZ8"
english_scanned,82251504.png,easyocr,7.803,1262,"11/05/97 11:0J 381J 884 0663 LORILLARD_INYBA GREENSBOR 3002/003 Retail Excel Progress Report Submission Ict: Distribution bylto; July 31 DM a RSM Ist af onth August 29 To; RW_Caldarella RSM tRWC 10th September 30 CC: DOS: Octaber 31 From: Kent B_Mills Ncvember 28 December 30 Area: 5 Region: 1Z AcceptancelResponse: What is the rotailers response to Lorillard""s Excel Merchandising plan? Chains;_This programhasbeen successfulta date_withchalns where qur ""Elex Bavment_was notuIn_place The chains where we_Wem using the_""Flex Pavment"" sxstem wehave_nqtbeen 38 succesaful IheBQS requirements ofuhe E1Plan _ with Qil Companies is difficultto obtain Independents: AdditiqnalE Vmerchandising Is_being secured auickly. Additionalmonies have assisted Realon LZin fighting PMExclusives and PMRJR co existence_situations Hardware EvaluationlEffoctlveness: Comment on the assembly of displays and application of shields: Ihe displays are easily assembledand durable Some questions have_been ralsed conceming the_inability to be iush with the counterandlar_upagainst the registec Aiwellas theability to place this on the Back BariLthe_settlement goes_through Pennanent Advertising Evaluation[Eifectiveness Acceptancei (P_IP S865 Plans Only: Not availlable at this time : 2"
english_scanned,82251504.png,paddle,0.0,33,ERROR: Unknown argument: show_log
english_scanned,82251504.png,doctr,5.093,1338,"11/05/97 11:03 8813 884 0663 LORILLARD TAXPA + GREENSBOR Q002/003 - Retail Excel Progress Report Submission for: Distribution bylto: July 31 () DM to RSM 1st of Month August 29 () To: R.W. Caldarella RSM to RW.C. 10th September 30 () CC: D.O.S. October 31 (X) From: Kent B. Mills November: 28 ( ) December 30 ( ) Area: 5 Region: 1Z Accentance/Response: What is the retailers response to Lorillard's Excel Merchandising plan? Chains: This program has been successful to date with chains where our ""Flex Payment"" was not in place. The chains where we were using the ""Flex Payment"" system we have not beenas successful. The P.O.S. requirements of the P-1 Plan with Oil Companies is difficult to obtain. Independents: Additional P.V.merchandising is being secured quickly, Additional monies have assisted Region 17 in fighting. PMU Exclusives and PM/RJR co-existence situations. Hardware Evaluation/Effectiveness: Comment on the assembly of displays and application of shields: The displays are easily assembled and durable. Some.questions have_ been raised conceming the inability to befush with the counter and/or. up against the register. As well as the ability to place this on the Back Bar if the settlement goes through. Permanent Advertising Evaluation/Effectivensss/Acceptance: (P-1/P-5 & C-5 Plans Only: Not: available at this time I"
english_scanned,82252956_2958.png,tesseract,0.416,554,"FROM:  ‘SUBJECT:  KA, Sparrow  D. J. Landro  MAY 4[  aus 4|  JUN 23)  SEP 45  OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 1900'S - PROGRESS REPORT  REGION:  (ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S) SCOPE)  DIVISION: DIVISION NAME: Milw. South DIVISION NAME: #REP z DIVISION NAME: Milw. North _ DIVISION NAME: #REP z DIVISION NAME: DIVISION NAME: # REPS  DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S  Ge  ie  ae  [Walgreen Drug naa,  93]  Paget of 3 Pages  95675208"
english_scanned,82252956_2958.png,easyocr,6.433,614,To: Sparrow SUBMISEIQN DATE FROM: Landro MAY 12| AUG JUN 23 SEP 15 SUBJECT: OLDGQLDMENTIHOLLIGHTS ULIRALIGHTS 108 PROGRESS REPORI GEOGRAP REGION: (ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S} SCOPE) DIVISION: DIVISION NAME: Milw South DIVISION NAME: REP DIVISION NAME: Milw. North DIVISION NAME: DIVISION NAME: DIVISION NAME: REPS DISTRIBUTOL DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S INDILOR NO: INDILOR No. OF NAME @FACCQUNT VOLUME STORES NAME OF ACCOUNT VOLUME SIORES Walgreen_ 144/14 1 Ongocdk Page1 of 3 Pages REP Drug
english_scanned,82252956_2958.png,paddle,0.0,33,ERROR: Unknown argument: show_log
english_scanned,82252956_2958.png,doctr,3.454,672,- TO: K. A. Sparrow SUBMISSIONI DATE FROM: D. J. Landro MAY 12L AUG 41 JUN 23X SEP 15 SUBJECT: OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S - PROGRESS REPORT GEOGRAPHY REGION: (ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S) SCOPE) DIVISION: DIVISION NAME: Milw. South DIVISION NAME: # REP 7 DIVISION NAME: Milw. North DIVISION NAME: # REP 7 DIVISION NAME: DIVISION NAME: # REPS DISTRIBUTION DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S INDILOR NO. OF IND/LOR NO. OF NAME OF ACCOUNT VOLUME STORES NAME OF ACCOUNT VOLUME STORES Walgreen Drug 144/14 93 - 2 2 OLDGOLD.XLS Page1 of 3 Pages
english_scanned,82253058_3059.png,tesseract,0.536,1122,"he  Az/t0/26 09:81 @a17 s4s0971 LORILLARD  COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT  TO: MRS. K. A, SPARROW MANUFACTURER: R, J. Reynolds . FROM: RG. Ryan BRAND: Camel Menthol __ DATE: ¥2H0/96 ‘TYPE OF PACKINGS: Full Flavor Box and Light Box REPORTING PERIODS: AUG SEPT oct Nov _x  (Forward by the 10th of the following month.)  MARKET GEOGRAPHY: _AllofRegion7,  PRICE POINT: FULLS11.89 PS indicate  tibutor’s Cost Per Carton)  SALES FORCE INVOLVEMENT: _Merchanclsing the top tay of permanent counter dlsplays and labeling {carton fixtures inthe Camel section, Also placing metal signs and temporary Counter display  DISTRIBUTORS ~ ACCEPTANCE/INTRO TERMS/INTRO DEALS: a Product is being introduced to al Direct Accounts in the Region. Acceptance is spotty at this time,  DISTRIBUTOR INVOLVEMENT: ‘Assembly of promotional products and shipment fo ‘esehing BIGIF product  CHAINS — ACCEPTANCE/MERCHANDISING ALLOWANCE hain acceptance has been very good.  INDEPENDENTS ~ ACCEPTANCE/MERCHANDISING ALLOWANCE Acceptance is better t high volume locations than at lower volume retail cals.  (CAMEL. /EMT PAGE 1 OF 2  Boorvo02"
english_scanned,82253058_3059.png,easyocr,8.336,1145,"12/10/36 00;51 33i7 845097! LORILARD 0281/282 COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPQRI To: MRS KA. SPARAOW MANUFACTURER: R, Reynolds_ FAOM: R.G: Ryan BRAND: Camel Menthol DATE: 1210/95 TYPE OF PACKINGS: Fyll Flavor_Box and Light Box REPORTING PERIODS: AUG SEPT OCT NOV (Forward by tho 1Oth of the following month ) TEST MARKET GEOGRAPHY: All 0l Region 7. PRICE POINT: FULL $11.89 PNS (Indicale Distributor's Cost Per Carton) SALES FORCE INVOLVEMENT: Merchand ising te {Op tray Opermanent counter displays and labeling carion fiuures the Camel section; Also placing metal sicng and temporary counter Cisplay: DISTRIBUTORS ACCEPTANCEIINTRO TERMSIINTRO DEALS: Product being introduced to all Direct Accounts in the Fegion_Acceplance_is spolly al this_ DISTRIBUTOR INVOLVEMENT: Assembly ot prcmotional products end shipment ""0 retail Indianapolis Direct Accounts are_reportedto be _ receivingBIG1F product CHAINS ACCEPTANCEIMERCHANDISING ALLOWANCE Cnain acceptance has Leen vely 900d. INDEPENDENTS ACCEPTANCEMMERCHANDISING ALLOWANCE Acceptance bettor atnign volume locaions tnan lower volure rotail calls 82253058 CAMEL,WKI/FMT PAGE OF 2 Vmc"
english_scanned,82253058_3059.png,paddle,0.0,33,ERROR: Unknown argument: show_log
